item,pop,impact,rank_score
Chicken Rice,34,1.079148190990296,1.9187500000000002
Sisig Rice,29,0.6337179487179486,1.226106038613181
Iced Tea,37,0.2904761904761905,1.0133818417311171
Burger,34,0.3107585139318886,0.9575047579754244
Fries,31,0.0,0.48750000000000004
Extra Rice,15,0.3257253711201079,0.461644763450225
Nuggets,19,0.23819444444444435,0.46047807445232647
Extra Sauce,21,0.108765479876161,0.3527308319580652
Water,25,0.0,0.325
Hotdog,24,0.0,0.29791666666666666
Soda,23,0.0,0.27083333333333337
Coffee,19,0.0,0.1625
Sundae,19,0.0,0.1625
Donut,18,0.0,0.13541666666666669
Lumpia,17,0.0,0.10833333333333334
Spaghetti,13,0.0,0.0
