item,pop,impact,rank_score
Sisig Rice,55,0.85,1.7833333333333334
Chicken Rice,65,0.6,1.5668300653594773
Iced Tea,67,0.2975,1.1225
Fries,66,0.21,0.9654738562091503
Extra Rice,37,0.5075,0.9143627450980392
Burger,51,0.0,0.36111111111111116
Water,50,0.0,0.34305555555555556
Hotdog,50,0.0,0.34305555555555556
Soda,47,0.0,0.28888888888888886
Extra Sauce,43,0.0,0.21666666666666667
Spaghetti,40,0.0,0.1625
Coffee,39,0.0,0.14444444444444443
Nuggets,39,0.0,0.14444444444444443
Donut,36,0.0,0.09027777777777779
Sundae,35,0.0,0.07222222222222222
Lumpia,31,0.0,0.0
