tx_id,timestamp,segment,day_type,items
801,2025-01-09T14:00:00Z,lunch,weekday,"Burger, Water, Salad, Fried Chicken"
802,2025-01-09T14:15:00Z,lunch,weekday,"Brownie, Water, Fish Fillet"
803,2025-01-09T14:30:00Z,lunch,weekday,"Brownie, Water, Fish Fillet"
804,2025-01-09T14:45:00Z,lunch,weekday,"Fruit Juice, Salad, Nuggets, Chicken Rice"
805,2025-01-09T15:00:00Z,lunch,weekday,"Fruit Juice, Salad, Chicken Rice"
806,2025-01-09T15:15:00Z,lunch,weekday,"Iced Tea, Milk Tea, Pasta"
807,2025-01-09T15:30:00Z,lunch,weekday,"Coffee, Chicken Rice, Fruit Juice, Salad"
808,2025-01-09T15:45:00Z,lunch,weekday,"Lumpia, Salad, Water"
809,2025-01-09T16:00:00Z,lunch,weekday,"Chicken Rice, Fruit Juice, Salad"
810,2025-01-09T16:15:00Z,lunch,weekday,"Salad, Water"
811,2025-01-09T16:30:00Z,lunch,weekday,"Brownie, Iced Tea, Pasta"
812,2025-01-09T16:45:00Z,lunch,weekday,"Salad, Fruit Juice, Chicken Rice"
813,2025-01-09T17:00:00Z,dinner,weekday,"Salad, Sisig Rice, Lumpia, Water"
814,2025-01-09T17:15:00Z,dinner,weekday,"Water, Hotdog, Salad, Fish Fillet"
815,2025-01-09T17:30:00Z,dinner,weekday,"Iced Tea, Pasta"
816,2025-01-09T17:45:00Z,dinner,weekday,"Salad, Chicken Rice, Fruit Juice, Hotdog"
817,2025-01-09T18:00:00Z,dinner,weekday,"Salad, Fruit Juice, Chicken Rice"
818,2025-01-09T18:15:00Z,dinner,weekday,"Water, Salad, Burger"
819,2025-01-09T18:30:00Z,dinner,weekday,"Brownie, Fish Fillet, Nuggets, Water, Fried Chicken"
820,2025-01-09T18:45:00Z,dinner,weekday,"Chicken Rice, Salad, Fruit Juice"
821,2025-01-09T19:00:00Z,dinner,weekday,"Water, Brownie, Fish Fillet"
822,2025-01-09T19:15:00Z,dinner,weekday,"Cheese Stick, Salad, Water"
823,2025-01-09T19:30:00Z,dinner,weekday,"Salad, Donut, Extra Rice, Fried Chicken, Water"
824,2025-01-09T19:45:00Z,dinner,weekday,"Pasta, Iced Tea"
825,2025-01-09T20:00:00Z,dinner,weekday,"Chicken Rice, Fruit Juice, Salad, Spring Rolls"
826,2025-01-09T20:15:00Z,dinner,weekday,"Fruit Juice, Salad, Chicken Rice"
827,2025-01-09T20:30:00Z,dinner,weekday,"Water, Spaghetti, Salad, Nachos, Pasta"
828,2025-01-09T20:45:00Z,dinner,weekday,"Water, Salad, Coffee"
829,2025-01-09T21:00:00Z,dinner,weekday,"Fruit Juice, Milk Tea, Salad, Chicken Rice"
830,2025-01-09T21:15:00Z,dinner,weekday,"Chicken Rice, Salad, Cheese Stick, Fruit Juice"
831,2025-01-09T21:30:00Z,dinner,weekday,"Water, Salad, Chicken Rice"
832,2025-01-09T21:45:00Z,dinner,weekday,"Sisig Rice, Fish Fillet, Brownie, Water"
833,2025-01-09T22:00:00Z,dinner,weekday,"Water, Fish Fillet, Brownie"
834,2025-01-09T22:15:00Z,dinner,weekday,"Pasta, Cheese Stick, Iced Tea"
835,2025-01-09T22:30:00Z,dinner,weekday,"Iced Tea, Salad, Burger, Water"
836,2025-01-09T22:45:00Z,dinner,weekday,"Fries, Pasta, Salad, Iced Tea, Spaghetti"
837,2025-01-09T23:00:00Z,dinner,weekday,"Water, Salad, Burger"
838,2025-01-09T23:15:00Z,dinner,weekday,"Iced Tea, Fish Fillet, Fruit Juice, Pasta"
839,2025-01-09T23:30:00Z,dinner,weekday,"Salad, Water"
840,2025-01-09T23:45:00Z,dinner,weekday,"Salad, Burger, Water"
841,2025-01-10T00:00:00Z,dinner,weekday,"Salad, Chicken Rice, Donut, Sundae, Fruit Juice"
842,2025-01-10T00:15:00Z,dinner,weekday,"Salad, Burger, Water"
843,2025-01-10T00:30:00Z,dinner,weekday,"Nuggets, Water, Salad"
844,2025-01-10T00:45:00Z,dinner,weekday,"Fish Fillet, Brownie, Water"
845,2025-01-10T01:00:00Z,dinner,weekday,"Water, Burger, Chicken Rice, Fish Fillet, Salad"
846,2025-01-10T01:15:00Z,dinner,weekday,"Extra Rice, Iced Tea, Pasta, Chicken Rice"
847,2025-01-10T01:30:00Z,dinner,weekday,"Water, Salad, Burger"
848,2025-01-10T01:45:00Z,dinner,weekday,"Burger, Water, Salad"
849,2025-01-10T02:00:00Z,dinner,weekday,"Spaghetti, Iced Tea, Pasta, Spring Rolls"
850,2025-01-10T02:15:00Z,dinner,weekday,"Fruit Juice, Chicken Rice, Salad, Nuggets"
851,2025-01-10T02:30:00Z,dinner,weekday,"Fish Fillet, Water, Brownie"
852,2025-01-10T02:45:00Z,dinner,weekday,"Pasta, Nuggets, Iced Tea"
853,2025-01-10T03:00:00Z,dinner,weekday,"Pasta, Sundae, Iced Tea, Fries"
854,2025-01-10T03:15:00Z,dinner,weekday,"Nuggets, Salad, Water, Iced Tea"
855,2025-01-10T03:30:00Z,dinner,weekday,"Chicken Rice, Iced Tea, Fruit Juice, Salad"
