item,pop,impact,rank_score
Iced Tea,263,0.8331803868471953,2.0
Burger,183,0.5848036312642869,1.2880319835190943
Soda,181,0.3247257024793388,0.8588903010118802
Cheese Stick,153,0.29161313539651834,0.6969047619047619
Nuggets,173,0.16020049586776858,0.5613581584233744
Chicken Rice,200,0.0,0.40625
Fries,195,0.0,0.3869047619047619
Donut,162,0.0,0.2592261904761905
Sisig Rice,161,0.0,0.25535714285714284
Sundae,157,0.0,0.2398809523809524
Water,141,0.0,0.1779761904761905
Hotdog,138,0.0,0.1663690476190476
Spaghetti,127,0.0,0.12380952380952381
Coffee,126,0.0,0.1199404761904762
Extra Rice,121,0.0,0.1005952380952381
Lumpia,115,0.0,0.07738095238095238
Extra Sauce,95,0.0,0.0
