tx_id,timestamp,segment,day_type,items,batch_no
361,2026-03-12 11:10:00+00:00,morning,weekday,"Coffee, Hash Brown, Milk Tea, Pasta, Wrap",3
362,2026-03-12 11:11:00+00:00,morning,weekday,"Burger, Hash Brown, Hotdog, Water",3
363,2026-03-12 11:12:00+00:00,morning,weekday,"Coffee, Water",3
364,2026-03-12 11:13:00+00:00,morning,weekday,"Chicken Rice, Hotdog, Iced Tea, Nuggets, Salad",3
365,2026-03-12 11:14:00+00:00,morning,weekday,"Burger, Hash Brown",3
366,2026-03-12 11:15:00+00:00,morning,weekday,"Fries, Nuggets, Salad, Water",3
367,2026-03-12 11:16:00+00:00,morning,weekday,"Brownie, Pasta",3
368,2026-03-12 11:17:00+00:00,morning,weekday,"Brownie, Coffee, Fries, Salad",3
369,2026-03-12 11:18:00+00:00,morning,weekday,"Burger, Hotdog",3
370,2026-03-12 11:19:00+00:00,morning,weekday,"Burger, Hotdog, Spaghetti",3
371,2026-03-12 11:20:00+00:00,morning,weekday,"Fries, Hash Brown, Hotdog",3
372,2026-03-12 11:21:00+00:00,morning,weekday,"Brownie, Hash Brown, Hotdog, Milk Tea, Pasta",3
373,2026-03-12 11:22:00+00:00,morning,weekday,"Spaghetti, Wrap",3
374,2026-03-12 11:23:00+00:00,lunch,weekday,"Fries, Iced Tea, Wrap",3
375,2026-03-12 11:24:00+00:00,lunch,weekday,"Brownie, Hotdog, Milk Tea, Nuggets, Pasta",3
376,2026-03-12 11:25:00+00:00,lunch,weekday,"Chicken Rice, Hotdog, Iced Tea",3
377,2026-03-12 11:26:00+00:00,lunch,weekday,Pasta,3
378,2026-03-12 11:27:00+00:00,lunch,weekday,"Milk Tea, Pasta, Salad",3
379,2026-03-12 11:28:00+00:00,lunch,weekday,"Coffee, Salad",3
380,2026-03-12 11:29:00+00:00,lunch,weekday,"Brownie, Milk Tea",3
381,2026-03-12 11:30:00+00:00,lunch,weekday,"Burger, Milk Tea, Wrap",3
382,2026-03-12 11:31:00+00:00,lunch,weekday,"Chicken Rice, Hotdog, Spaghetti",3
383,2026-03-12 11:32:00+00:00,lunch,weekday,"Brownie, Coffee, Nuggets, Salad, Soda, Wrap",3
384,2026-03-12 11:33:00+00:00,lunch,weekday,"Brownie, Coffee, Pasta, Wrap",3
385,2026-03-12 11:34:00+00:00,lunch,weekday,Fries,3
386,2026-03-12 11:35:00+00:00,lunch,weekday,"Brownie, Coffee, Fries, Salad",3
387,2026-03-12 11:36:00+00:00,lunch,weekday,"Brownie, Hotdog",3
388,2026-03-12 11:37:00+00:00,lunch,weekday,Brownie,3
389,2026-03-12 11:38:00+00:00,lunch,weekday,"Brownie, Burger, Iced Tea",3
390,2026-03-12 11:39:00+00:00,lunch,weekday,"Hash Brown, Soda",3
391,2026-03-12 11:40:00+00:00,lunch,weekday,"Brownie, Pasta",3
392,2026-03-12 11:41:00+00:00,lunch,weekday,"Brownie, Soda",3
393,2026-03-12 11:42:00+00:00,lunch,weekday,Chicken Rice,3
394,2026-03-12 11:43:00+00:00,lunch,weekday,"Burger, Milk Tea, Salad",3
395,2026-03-12 11:44:00+00:00,dinner,weekday,"Burger, Chicken Rice, Hash Brown, Hotdog",3
396,2026-03-12 11:45:00+00:00,dinner,weekday,Burger,3
397,2026-03-12 11:46:00+00:00,dinner,weekday,"Fries, Water",3
398,2026-03-12 11:47:00+00:00,dinner,weekday,"Burger, Hash Brown",3
399,2026-03-12 11:48:00+00:00,dinner,weekday,"Chicken Rice, Iced Tea, Spaghetti",3
400,2026-03-12 11:49:00+00:00,dinner,weekday,"Brownie, Coffee, Milk Tea, Nuggets, Salad",3
401,2026-03-12 11:50:00+00:00,dinner,weekday,"Fries, Pasta",3
402,2026-03-12 11:51:00+00:00,dinner,weekday,"Hotdog, Nuggets, Wrap",3
403,2026-03-12 11:52:00+00:00,dinner,weekday,Salad,3
404,2026-03-12 11:53:00+00:00,dinner,weekday,"Nuggets, Soda",3
405,2026-03-12 11:54:00+00:00,dinner,weekday,"Coffee, Water",3
406,2026-03-12 11:55:00+00:00,dinner,weekday,Spaghetti,3
407,2026-03-12 11:56:00+00:00,dinner,weekday,"Chicken Rice, Hotdog, Iced Tea, Wrap",3
408,2026-03-12 11:57:00+00:00,dinner,weekday,"Brownie, Soda",3
409,2026-03-12 11:58:00+00:00,dinner,weekday,"Chicken Rice, Nuggets, Salad",3
410,2026-03-12 11:59:00+00:00,dinner,weekday,"Chicken Rice, Hash Brown, Milk Tea, Wrap",3
411,2026-03-12 12:00:00+00:00,dinner,weekday,"Spaghetti, Water",3
412,2026-03-12 12:01:00+00:00,dinner,weekday,"Fries, Hash Brown, Salad",3
413,2026-03-12 12:02:00+00:00,dinner,weekday,Soda,3
414,2026-03-12 12:03:00+00:00,dinner,weekday,"Brownie, Coffee, Iced Tea, Spaghetti",3
415,2026-03-12 12:04:00+00:00,dinner,weekday,"Brownie, Salad, Water",3
416,2026-03-12 12:05:00+00:00,dinner,weekday,"Fries, Hotdog, Iced Tea, Milk Tea, Wrap",3
417,2026-03-12 12:06:00+00:00,dinner,weekday,"Salad, Soda",3
418,2026-03-12 12:07:00+00:00,dinner,weekday,"Fries, Pasta",3
419,2026-03-12 12:08:00+00:00,dinner,weekday,"Brownie, Salad",3
420,2026-03-12 12:09:00+00:00,dinner,weekday,"Burger, Hotdog, Wrap",3
421,2026-03-12 12:10:00+00:00,dinner,weekday,"Iced Tea, Water",3
422,2026-03-12 12:11:00+00:00,dinner,weekday,"Burger, Hash Brown, Water, Wrap",3
423,2026-03-12 12:12:00+00:00,dinner,weekday,"Iced Tea, Pasta",3
424,2026-03-12 12:13:00+00:00,dinner,weekday,"Chicken Rice, Iced Tea",3
425,2026-03-12 12:14:00+00:00,dinner,weekday,"Milk Tea, Wrap",3
426,2026-03-12 12:15:00+00:00,dinner,weekday,"Coffee, Fries, Hash Brown",3
427,2026-03-12 12:16:00+00:00,dinner,weekday,"Chicken Rice, Coffee, Iced Tea",3
428,2026-03-12 12:17:00+00:00,dinner,weekday,"Soda, Spaghetti",3
429,2026-03-12 12:18:00+00:00,dinner,weekday,"Brownie, Coffee",3
430,2026-03-12 12:19:00+00:00,dinner,weekday,"Chicken Rice, Fries, Soda",3
431,2026-03-12 12:20:00+00:00,dinner,weekday,"Burger, Chicken Rice, Hash Brown",3
432,2026-03-12 12:21:00+00:00,dinner,weekday,"Chicken Rice, Fries, Hotdog, Iced Tea, Water",3
433,2026-03-12 12:22:00+00:00,dinner,weekday,"Nuggets, Spaghetti",3
434,2026-03-12 12:23:00+00:00,dinner,weekday,"Chicken Rice, Fries, Pasta",3
435,2026-03-12 12:24:00+00:00,dinner,weekday,"Burger, Wrap",3
436,2026-03-12 12:25:00+00:00,dinner,weekday,"Milk Tea, Pasta",3
