item,pop,impact,rank_score
Salad,749,6.754325877260827,2.0
Water,740,6.490617121725326,1.939075735753331
Chicken Rice,303,3.7815597527224325,0.9986646414529086
Fruit Juice,296,3.697508119452359,0.975474631706755
Fish Fillet,309,3.454521571640679,0.9387764243176907
Brownie,294,3.3948569106739686,0.9131573144684024
Burger,220,1.1416729142631465,0.39525295036947855
Iced Tea,240,1.0126197232260759,0.3877172698162354
Pasta,238,1.0054280876349995,0.384454021192741
Sisig Rice,54,0.051358677926616185,0.025784819868298864
Fries,45,0.05883856379792873,0.01906354679381026
Lumpia,56,0.0,0.017345505617977527
Cheese Stick,54,0.0,0.015519662921348315
Nuggets,48,0.0,0.010042134831460674
Sundae,47,0.0,0.009129213483146067
Spaghetti,47,0.0,0.009129213483146067
Spring Rolls,45,0.0,0.007303370786516854
Extra Rice,44,0.0,0.006390449438202247
Nachos,43,0.0,0.0054775280898876405
Coffee,42,0.0,0.004564606741573034
Donut,41,0.0,0.003651685393258427
Milk Tea,40,0.0,0.0027387640449438202
Hotdog,38,0.0,0.0009129213483146068
Fried Chicken,38,0.0,0.0009129213483146068
Soda,37,0.0,0.0
