antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,support_n,conf_n,lift_n,stability,profit,profit_n,score,recent_score,blend_score,key
"Chicken Rice, Salad",Fruit Juice,0.2296875,0.2515625,0.2171875,0.9455782312925171,3.7588202983056576,0.15940673828125002,13.752539062500013,0.8947368421052632,0.8367346938775512,0.8569723323031692,1.0,138.0,1.0,0.8942108596601103,0.8039374012843262,0.8671288221473751,"('Chicken Rice', 'Salad')=>('Fruit Juice',)"
"Fruit Juice, Salad",Chicken Rice,0.2359375,0.24375,0.2171875,0.9205298013245033,3.7765325182543728,0.159677734375,9.516145833333338,0.8947368421052632,0.76158940397351,0.8626927301033304,1.0,138.0,1.0,0.8730973721389382,0.7710947738437439,0.8424965926503799,"('Fruit Juice', 'Salad')=>('Chicken Rice',)"
Chicken Rice,"Fruit Juice, Salad",0.24375,0.2359375,0.2171875,0.8910256410256411,3.7765325182543728,0.159677734375,7.011397058823532,0.8947368421052632,0.6730769230769232,0.8626927301033304,1.0,138.0,1.0,0.8465436278699622,0.7628053001595333,0.8214221295568335,"('Chicken Rice',)=>('Fruit Juice', 'Salad')"
"Fish Fillet, Water",Brownie,0.2296875,0.253125,0.2125,0.9251700680272109,3.654992861342068,0.1543603515625,9.980965909090912,0.8721804511278195,0.7755102040816327,0.8234398759694844,1.0,113.0,0.7058823529411765,0.8335373557365425,0.7569217329560184,0.8105526689023852,"('Fish Fillet', 'Water')=>('Brownie',)"
Fruit Juice,"Chicken Rice, Salad",0.2515625,0.2296875,0.2171875,0.8633540372670807,3.7588202983056576,0.15940673828125002,5.63728693181818,0.8947368421052632,0.5900621118012421,0.8569723323031692,1.0,138.0,1.0,0.8202090850372176,0.721683022000244,0.7906512661261256,"('Fruit Juice',)=>('Chicken Rice', 'Salad')"
Chicken Rice,Fruit Juice,0.24375,0.2515625,0.2171875,0.8910256410256411,3.541965281095716,0.155869140625,6.868014705882356,0.8947368421052632,0.6730769230769232,0.7869361105876812,1.0,118.0,0.7647058823529411,0.8040750612263441,0.722841060424926,0.7797048609859185,"('Chicken Rice',)=>('Fruit Juice',)"
"Brownie, Water",Fish Fillet,0.2390625,0.2546875,0.2125,0.8888888888888888,3.490115882753919,0.15161376953125,6.7078124999999975,0.8721804511278195,0.6666666666666665,0.7701906554683968,1.0,113.0,0.7058823529411765,0.7875719893867807,0.7061565555127648,0.7631473592245759,"('Brownie', 'Water')=>('Fish Fillet',)"
Pasta,Iced Tea,0.2125,0.21875,0.1953125,0.9191176470588236,4.201680672268908,0.148828125,9.659090909090917,0.7894736842105263,0.7573529411764708,1.0,1.0,53.0,0.0,0.7851006191950466,0.6865728360309641,0.7555422842458218,"('Pasta',)=>('Iced Tea',)"
Fruit Juice,Chicken Rice,0.2515625,0.24375,0.2171875,0.8633540372670807,3.541965281095716,0.155869140625,5.534374999999998,0.8947368421052632,0.5900621118012421,0.7869361105876812,1.0,118.0,0.7647058823529411,0.7791706178436397,0.6838559119100744,0.7505762060635701,"('Fruit Juice',)=>('Chicken Rice',)"
"Chicken Rice, Fruit Juice",Salad,0.2171875,0.6140625,0.2171875,1.0,1.628498727735369,0.08382080078125001,999.0,0.8947368421052632,1.0,0.16895655216881345,1.0,138.0,1.0,0.7711865064632559,0.6827006563142158,0.7446407514185438,"('Chicken Rice', 'Fruit Juice')=>('Salad',)"
Iced Tea,Pasta,0.21875,0.2125,0.1953125,0.8928571428571429,4.201680672268908,0.148828125,7.350000000000003,0.7894736842105263,0.6785714285714287,1.0,1.0,53.0,0.0,0.761466165413534,0.6865728360309641,0.7389981665987629,"('Iced Tea',)=>('Pasta',)"
Brownie,"Fish Fillet, Water",0.253125,0.2296875,0.2125,0.8395061728395062,3.6549928613420684,0.1543603515625,4.799639423076925,0.8721804511278195,0.5185185185185187,0.8234398759694844,1.0,113.0,0.7058823529411765,0.7564398500676083,0.6585706357773351,0.7270790857805263,"('Brownie',)=>('Fish Fillet', 'Water')"
Fish Fillet,"Brownie, Water",0.2546875,0.2390625,0.2125,0.8343558282208589,3.490115882753919,0.15161376953125,4.5938078703703695,0.8721804511278195,0.5030674846625766,0.7701906554683968,1.0,113.0,0.7058823529411765,0.7384922347855537,0.6741760043849367,0.7191973656653685,"('Fish Fillet',)=>('Brownie', 'Water')"
"Brownie, Fish Fillet",Water,0.2125,0.603125,0.2125,1.0,1.6580310880829014,0.08433593749999999,999.0,0.8721804511278195,1.0,0.1784944220493109,1.0,113.0,0.7058823529411765,0.7396479310320093,0.649233254212364,0.7125235279861156,"('Brownie', 'Fish Fillet')=>('Water',)"
