item,pop,impact,rank_score
Salad,494,7.334084608945325,2.0
Water,491,7.1143297907223815,1.9554440166200986
Fruit Juice,201,3.7832428990858835,0.9454419134174081
Chicken Rice,198,3.7281256276955945,0.9311911010404417
Fish Fillet,206,3.341348119283005,0.8709435400056583
Brownie,200,3.3837058297166456,0.8705298843471379
Iced Tea,165,1.0141916425553887,0.3864738099652268
Pasta,164,1.0034379660848005,0.3831259376232568
Burger,141,1.0434465078887796,0.35901670778096806
Fries,34,0.4985652035576643,0.1122982356255112
Sisig Rice,42,0.028400383405652794,0.03670140104799881
Cheese Stick,35,0.015486176872287854,0.024745309189210352
Lumpia,33,0.0,0.019157894736842106
Spring Rolls,32,0.0,0.01778947368421053
Extra Rice,31,0.0,0.016421052631578947
Coffee,31,0.0,0.016421052631578947
Nachos,30,0.0,0.01505263157894737
Sundae,29,0.0,0.01368421052631579
Spaghetti,29,0.0,0.01368421052631579
Donut,27,0.0,0.010947368421052631
Soda,27,0.0,0.010947368421052631
Hotdog,23,0.0,0.0054736842105263155
Fried Chicken,23,0.0,0.0054736842105263155
Nuggets,22,0.0,0.004105263157894737
Milk Tea,19,0.0,0.0
