antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,support_n,conf_n,lift_n,stability,profit,profit_n,score,recent_score,blend_score,key
"Fries, Nuggets",Milk Tea,0.146875,0.1578125,0.140625,0.9574468085106382,6.066989677691173,0.1174462890625,19.79140624999997,0.4476744186046512,0.8652482269503544,1.0,1.0,139.0,0.978021978021978,0.8469115496082343,0.833562000030591,0.8429066847349413,"('Fries', 'Nuggets')=>('Milk Tea',)"
"Fries, Milk Tea",Nuggets,0.146875,0.16875,0.140625,0.9574468085106382,5.673758865248226,0.11583984375,19.534374999999972,0.4476744186046512,0.8652482269503544,0.9089838468137076,1.0,139.0,0.978021978021978,0.8241575113116613,0.8132130402699257,0.8208741699991405,"('Fries', 'Milk Tea')=>('Nuggets',)"
"Cheese Stick, Soda",Spaghetti,0.1921875,0.2234375,0.1890625,0.9837398373983739,4.40275171982489,0.14612060546875,47.75859374999974,0.627906976744186,0.9485094850948507,0.6147999289003402,1.0,141.0,1.0,0.8138342231023774,0.7858230876662441,0.8054308824715373,"('Cheese Stick', 'Soda')=>('Spaghetti',)"
"Fries, Soda",Burger,0.2859375,0.3125,0.2796875,0.9781420765027321,3.1300546448087427,0.19033203124999998,31.453124999999805,0.9651162790697674,0.9307832422586516,0.3202248643986936,1.0,139.0,0.978021978021978,0.8001166423934202,0.7922296405916142,0.7977505418528783,"('Fries', 'Soda')=>('Burger',)"
Milk Tea,"Fries, Nuggets",0.1578125,0.146875,0.140625,0.8910891089108911,6.066989677691173,0.1174462890625,7.833238636363638,0.4476744186046512,0.6551155115511551,1.0,1.0,139.0,0.978021978021978,0.7838717349884745,0.7920764312699798,0.7863331438729261,"('Milk Tea',)=>('Fries', 'Nuggets')"
"Soda, Spaghetti",Cheese Stick,0.1984375,0.225,0.1890625,0.952755905511811,4.2344706911636045,0.1444140625,16.404166666666658,0.627906976744186,0.8503937007874015,0.5758500516314916,1.0,141.0,1.0,0.7746620184929305,0.777349798680187,0.7754683525491074,"('Soda', 'Spaghetti')=>('Cheese Stick',)"
"Burger, Soda",Fries,0.284375,0.4484375,0.2796875,0.9835164835164835,2.193207489374737,0.1521630859375,33.461458333333226,0.9651162790697674,0.9478021978021977,0.10338472493608417,1.0,139.0,0.978021978021978,0.7510122941908316,0.7398662618086689,0.7476684844761827,"('Burger', 'Soda')=>('Fries',)"
"Burger, Fries",Soda,0.2890625,0.4890625,0.2796875,0.9675675675675675,1.978412917710042,0.13831787109374996,15.753906249999947,0.9651162790697674,0.8972972972972969,0.05366894728182321,1.0,139.0,0.978021978021978,0.7234318796257961,0.7216846577154946,0.7229077130527056,"('Burger', 'Fries')=>('Soda',)"
Burger,"Fries, Soda",0.3125,0.2859375,0.2796875,0.8949999999999999,3.1300546448087427,0.19033203124999998,6.800595238095233,0.9651162790697674,0.6674999999999996,0.3202248643986936,1.0,139.0,0.978021978021978,0.7211316697158247,0.6944074359145708,0.7131143995754485,"('Burger',)=>('Fries', 'Soda')"
Nuggets,"Fries, Milk Tea",0.16875,0.146875,0.140625,0.8333333333333333,5.673758865248226,0.11583984375,5.118749999999998,0.4476744186046512,0.47222222222222193,0.9089838468137076,1.0,139.0,0.978021978021978,0.7062497098932216,0.6641787491341165,0.69362842166549,"('Nuggets',)=>('Fries', 'Milk Tea')"
