item,pop,impact,rank_score
Soda,597,7.5418130757191895,2.0
Fries,554,7.207150193441544,1.8908869115908993
Burger,384,3.306750452460862,0.9981651092718464
Spaghetti,260,3.752130666037718,0.9359876720058058
Cheese Stick,258,3.727338029528112,0.929261006855492
Nuggets,208,3.238345698466202,0.7845120673843552
Milk Tea,196,3.192863652327903,0.76263829352887
Chicken Rice,320,0.9657280903661553,0.5058778711357164
Iced Tea,327,0.8985404169801721,0.5018617032564954
Sisig Rice,192,0.8999428396712391,0.34762330317320833
Water,193,0.87819020191382,0.34487390262257056
Spring Rolls,55,0.027520776814270686,0.034679796589471165
Nachos,52,0.0,0.02632042253521127
Sundae,48,0.0,0.021742957746478872
Fish Fillet,46,0.0,0.019454225352112674
Coffee,45,0.0,0.018309859154929577
Extra Rice,43,0.0,0.01602112676056338
Hotdog,43,0.0,0.01602112676056338
Pasta,41,0.0,0.013732394366197184
Donut,39,0.0,0.011443661971830986
Fruit Juice,38,0.0,0.010299295774647887
Salad,36,0.0,0.00801056338028169
Lumpia,34,0.0,0.005721830985915493
Fried Chicken,33,0.0,0.004577464788732394
Brownie,29,0.0,0.0
