item,pop,impact,rank_score
Soda,191,5.068325817566727,1.98655346230957
Fries,177,5.119316246348771,1.9505434782608697
Cheese Stick,89,2.6325570095650246,0.9838978663785656
Spaghetti,85,2.6214606789668027,0.9668412505227941
Nuggets,69,2.760700177723084,0.9470379546913151
Milk Tea,65,2.6647226520889373,0.9075975657329881
Burger,120,1.645274814925989,0.8330554194802204
Iced Tea,111,1.499263692482901,0.7627577727302961
Chicken Rice,107,1.5442352416258034,0.7604866543917964
Water,73,0.7639867133469869,0.43462088836373614
Sisig Rice,72,0.7417809717201925,0.4252324681195098
Brownie,17,0.45426876808596905,0.15511998274357205
Coffee,20,0.0,0.04592391304347826
Fish Fillet,20,0.0,0.04592391304347826
Nachos,18,0.0,0.03885869565217392
Spring Rolls,18,0.0,0.03885869565217392
Sundae,16,0.0,0.03179347826086957
Pasta,14,0.0,0.02472826086956522
Fruit Juice,14,0.0,0.02472826086956522
Donut,13,0.0,0.021195652173913043
Hotdog,13,0.0,0.021195652173913043
Lumpia,13,0.0,0.021195652173913043
Extra Rice,11,0.0,0.014130434782608696
Fried Chicken,9,0.0,0.007065217391304348
Salad,7,0.0,0.0
