item,pop,impact,rank_score
Extra Rice,365,8.53553543726223,2.0
Coffee,190,5.284044525932644,1.1598054551309596
Pasta,187,5.156043163298755,1.1339730714111498
Brownie,182,5.173463971622253,1.1274160657769918
Burger,170,5.084508773817563,1.0909971360243427
Iced Tea,161,5.107063739828708,1.0778023038953335
Nuggets,158,5.074406257917805,1.067049728574435
Fruit Juice,210,3.8570058520230757,0.9713510059820444
Fish Fillet,204,3.7148882326045882,0.9376985699335361
Fried Chicken,184,3.7652491397440575,0.9084144836619069
Soda,176,3.739410864608222,0.8894281289185415
Spring Rolls,162,1.324331012710138,0.48137902266236854
Milk Tea,159,1.139388245492916,0.4465406548713173
Donut,36,0.0,0.03724928366762178
Chicken Rice,33,0.006142367397755743,0.03263338213264908
Lumpia,30,0.0,0.026074498567335246
Spaghetti,22,0.06238291395567482,0.021041410862568364
Cheese Stick,27,0.0,0.02048710601719198
Hotdog,26,0.0,0.01862464183381089
Water,24,0.004864850427350427,0.015669149447391804
Sisig Rice,22,0.0,0.011174785100286534
Salad,19,0.0,0.005587392550143267
Nachos,19,0.0,0.005587392550143267
Fries,19,0.0,0.005587392550143267
Sundae,16,0.0,0.0
