antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,support_n,conf_n,lift_n,stability,profit,profit_n,score,recent_score,blend_score,key
"Coffee, Pasta",Brownie,0.2015625,0.225,0.2015625,1.0,4.444444444444445,0.1562109375,999.0,0.7945205479452054,1.0,0.7624178264782336,1.0,142.0,0.7916666666666666,0.8786752328752663,0.8858285941903234,0.8808212412697833,"('Coffee', 'Pasta')=>('Brownie',)"
"Burger, Iced Tea",Nuggets,0.1734375,0.190625,0.171875,0.990990990990991,5.198641264215035,0.1388134765625,89.8406249999998,0.6643835616438356,0.9742599742599742,1.0,1.0,117.0,0.53125,0.8782797046067594,0.8591758874666251,0.8725485594647191,"('Burger', 'Iced Tea')=>('Nuggets',)"
"Burger, Nuggets",Iced Tea,0.171875,0.2,0.171875,1.0,5.0,0.1375,999.0,0.6643835616438356,1.0,0.9374253217911013,1.0,117.0,0.53125,0.8703580427765425,0.864520228577555,0.8686066985168461,"('Burger', 'Nuggets')=>('Iced Tea',)"
"Extra Rice, Fish Fillet",Fruit Juice,0.2453125,0.2671875,0.2421875,0.9872611464968153,3.6950124781167353,0.17664306640625,57.52578125000001,0.9726027397260274,0.9636032757051866,0.5263366460762959,1.0,162.0,1.0,0.8651856921758354,0.874015826104005,0.8678347323542861,"('Extra Rice', 'Fish Fillet')=>('Fruit Juice',)"
"Brownie, Pasta",Coffee,0.203125,0.23125,0.2015625,0.9923076923076923,4.291060291060291,0.15458984375,99.93750000000036,0.7945205479452054,0.9780219780219781,0.714099748770232,1.0,142.0,0.7916666666666666,0.8600023068548592,0.8746050334325974,0.8643831248281806,"('Brownie', 'Pasta')=>('Coffee',)"
"Extra Rice, Soda",Fried Chicken,0.2046875,0.2234375,0.2015625,0.984732824427481,4.407195857577537,0.15582763671875,50.86484375000029,0.7945205479452054,0.9563794983642314,0.7506840190734952,1.0,136.0,0.7291666666666666,0.856405630533351,0.8718829664671004,0.8610488313134756,"('Extra Rice', 'Soda')=>('Fried Chicken',)"
"Extra Rice, Fried Chicken",Soda,0.209375,0.2125,0.2015625,0.9626865671641791,4.530289727831431,0.1570703125,21.105,0.7945205479452054,0.8933901918976546,0.7894602489321975,1.0,136.0,0.7291666666666666,0.8472028960580534,0.8836199474482398,0.8581280114751093,"('Extra Rice', 'Fried Chicken')=>('Soda',)"
"Iced Tea, Nuggets",Burger,0.171875,0.209375,0.171875,1.0,4.776119402985074,0.135888671875,999.0,0.6643835616438356,1.0,0.8668999132321843,1.0,117.0,0.53125,0.8527266906368132,0.8514608068647632,0.8523469255051981,"('Iced Tea', 'Nuggets')=>('Burger',)"
"Extra Rice, Fruit Juice",Fish Fillet,0.2484375,0.265625,0.2421875,0.9748427672955975,3.669996300406955,0.1761962890625,29.191406250000007,0.9726027397260274,0.9281221922731356,0.5184562125903736,1.0,162.0,1.0,0.8525712587747396,0.8493867406981066,0.8516159033517496,"('Extra Rice', 'Fruit Juice')=>('Fish Fillet',)"
"Brownie, Coffee",Pasta,0.20625,0.234375,0.2015625,0.9772727272727274,4.16969696969697,0.15322265625,33.68750000000019,0.7945205479452054,0.9350649350649355,0.67586866515987,1.0,142.0,0.7916666666666666,0.8375574230651559,0.850771312377685,0.8415215898589146,"('Brownie', 'Coffee')=>('Pasta',)"
Soda,"Extra Rice, Fried Chicken",0.2125,0.209375,0.2015625,0.948529411764706,4.530289727831431,0.1570703125,15.360714285714307,0.7945205479452054,0.8529411764705884,0.7894602489321975,1.0,136.0,0.7291666666666666,0.8350681914299336,0.8524625736619627,0.8402865060995424,"('Soda',)=>('Extra Rice', 'Fried Chicken')"
