item,pop,impact,rank_score
Extra Rice,553,8.730731386786717,2.0
Coffee,274,5.662626008354509,1.1808185969033838
Pasta,271,5.401292158413799,1.1367023069601567
Brownie,267,5.3760112338184864,1.1278502473497503
Burger,253,5.309642294760277,1.100287488890142
Iced Tea,243,5.323640942367074,1.0900946324185716
Nuggets,241,5.326607575356382,1.0880818687767608
Fruit Juice,300,3.9680884047278195,0.9509279286543677
Fish Fillet,294,3.908620536232545,0.9343181882149806
Fried Chicken,290,3.9272252381521406,0.9322519971842431
Soda,285,3.9368846675828904,0.9275668910288003
Spring Rolls,243,2.5193765473583207,0.6564818266241721
Milk Tea,235,2.3087498950029985,0.6140274917914835
Spaghetti,37,0.33345511088002855,0.06391831808262217
Sisig Rice,38,0.15136804133982962,0.036998624090396816
Lumpia,47,0.0,0.024714828897338403
Donut,44,0.0,0.021007604562737644
Chicken Rice,41,0.0,0.01730038022813688
Cheese Stick,40,0.0,0.016064638783269962
Hotdog,35,0.0,0.009885931558935362
Water,33,0.0,0.007414448669201521
Nachos,32,0.0,0.006178707224334601
Fries,30,0.0,0.0037072243346007606
Sundae,30,0.0,0.0037072243346007606
Salad,27,0.0,0.0
