item,pop,impact,rank_score
Fries,90,0.85,1.834920634920635
Burger,96,0.2975,1.0193253968253968
Iced Tea,106,0.0,0.65
Chicken Rice,105,0.0,0.6396825396825396
Coffee,45,0.2975,0.4931349206349206
Sisig Rice,87,0.0,0.45396825396825397
Water,78,0.0,0.36111111111111116
Nuggets,74,0.0,0.3198412698412698
Extra Rice,70,0.0,0.2785714285714286
Soda,67,0.0,0.24761904761904763
Hotdog,66,0.0,0.2373015873015873
Spaghetti,60,0.0,0.17539682539682538
Lumpia,59,0.0,0.16507936507936508
Extra Sauce,52,0.0,0.09285714285714286
Sundae,46,0.0,0.030952380952380953
Donut,43,0.0,0.0
