item,pop,impact,rank_score
Iced Tea,213,0.8832500000000001,2.0
Sisig Rice,176,0.8312499999999999,1.723389656308436
Extra Sauce,116,0.4445,0.8125910037909546
Chicken Rice,202,0.0,0.5913934426229508
Fries,182,0.0,0.4848360655737705
Burger,169,0.0,0.41557377049180333
Water,155,0.0,0.3409836065573771
Hotdog,144,0.0,0.28237704918032785
Nuggets,143,0.0,0.27704918032786885
Soda,135,0.0,0.23442622950819675
Extra Rice,126,0.0,0.18647540983606556
Spaghetti,121,0.0,0.1598360655737705
Lumpia,111,0.0,0.10655737704918032
Coffee,101,0.0,0.05327868852459016
Donut,95,0.0,0.021311475409836068
Sundae,91,0.0,0.0
