item,pop,impact,rank_score
Soda,189,4.0375240903874685,1.8121605545245707
Fries,106,4.69010714638555,1.6969101123595507
Cheese Stick,103,4.332046830499079,1.5828910085237948
Milk Tea,97,4.331611744527519,1.5608556610591018
Burger,100,2.999103057397104,1.1882615420324258
Nachos,97,2.977097553667575,1.1709724237283432
Donut,82,2.310639363351002,0.9243638799964959
Coffee,80,2.235683862620008,0.895485324927713
Iced Tea,76,0.7681965674736481,0.4584771783090964
Lumpia,71,0.7296683416671965,0.429128790449524
Hotdog,106,0.18726384727472237,0.40081212055049376
Water,26,0.42216116271069826,0.17629011027727384
Fruit Juice,20,0.0,0.03286516853932584
Salad,17,0.017999108734402854,0.027090974125186303
Extra Rice,18,0.0,0.02556179775280899
Sundae,18,0.0,0.02556179775280899
Spaghetti,18,0.0,0.02556179775280899
Chicken Rice,18,0.0,0.02556179775280899
Fried Chicken,17,0.0,0.021910112359550562
Nuggets,16,0.0,0.018258426966292134
Spring Rolls,15,0.0,0.014606741573033709
Brownie,15,0.0,0.014606741573033709
Fish Fillet,14,0.0,0.010955056179775281
Pasta,13,0.0,0.007303370786516854
Sisig Rice,11,0.0,0.0
