item,pop,impact,rank_score
Soda,600,5.270107715911052,2.0
Fries,281,4.95478499942529,1.5509315330163913
Cheese Stick,266,4.8574049750057675,1.5086685562176014
Milk Tea,251,4.851645894593863,1.4898753605082673
Burger,310,3.972661410256556,1.3328303884417765
Nachos,311,3.950747670305763,1.3283714558374067
Hotdog,336,0.6942670301971497,0.5230489182981384
Donut,266,0.891230988678306,0.49268649851188684
Coffee,257,0.8841875895069812,0.48049148530897956
Iced Tea,221,0.8791873325122724,0.4376475556790164
Lumpia,201,0.8455774437355245,0.4059474017039246
Extra Rice,60,0.01575,0.030588721584580668
Water,60,0.0,0.02655417406749556
Brownie,60,0.0,0.02655417406749556
Salad,57,0.0,0.023090586145648313
Fruit Juice,53,0.0,0.01847246891651865
Sundae,53,0.0,0.01847246891651865
Fried Chicken,52,0.0,0.017317939609236235
Chicken Rice,51,0.0,0.01616341030195382
Fish Fillet,49,0.0,0.013854351687388989
Pasta,49,0.0,0.013854351687388989
Spaghetti,48,0.0,0.012699822380106574
Spring Rolls,43,0.02018133769401735,0.012096862566542355
Nuggets,45,0.0,0.009236234458259326
Sisig Rice,37,0.0,0.0
