antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,support_n,conf_n,lift_n,stability,profit,profit_n,score,recent_score,blend_score,key
"Cheese Stick, Fries",Milk Tea,0.234375,0.25,0.234375,1.0,4.0,0.17578125,999.0,1.0,1.0,0.7203947368421053,0.0,125.0,0.7424242424242424,0.7543411084529505,0.7543411084529505,0.7543411084529505,"('Cheese Stick', 'Fries')=>('Milk Tea',)"
"Fries, Milk Tea",Cheese Stick,0.234375,0.26875,0.234375,1.0,3.7209302325581395,0.17138671875,999.0,1.0,1.0,0.6481028151774786,0.0,125.0,0.7424242424242424,0.7362681280367939,0.7362681280367939,0.7362681280367938,"('Fries', 'Milk Tea')=>('Cheese Stick',)"
"Cheese Stick, Milk Tea",Fries,0.234375,0.278125,0.234375,1.0,3.595505617977528,0.169189453125,999.0,1.0,1.0,0.615612063867534,0.0,125.0,0.7424242424242424,0.7281454402093077,0.7281454402093077,0.7281454402093076,"('Cheese Stick', 'Milk Tea')=>('Fries',)"
Milk Tea,"Cheese Stick, Fries",0.25,0.234375,0.234375,0.9375,4.0,0.17578125,12.25,1.0,0.8541666666666666,0.7203947368421053,0.0,125.0,0.7424242424242424,0.7105911084529506,0.7105911084529506,0.7105911084529506,"('Milk Tea',)=>('Cheese Stick', 'Fries')"
"Burger, Soda",Nachos,0.234375,0.25,0.221875,0.9466666666666667,3.7866666666666666,0.16328125,14.062499999999996,0.9411764705882353,0.8755555555555555,0.6651315789473684,0.0,132.0,0.8484848484848485,0.7020333403696407,0.7020333403696407,0.7020333403696406,"('Burger', 'Soda')=>('Nachos',)"
"Nachos, Soda",Burger,0.234375,0.25625,0.221875,0.9466666666666667,3.6943089430894314,0.16181640625,13.945312499999998,0.9411764705882353,0.8755555555555555,0.6412066752246471,0.0,132.0,0.8484848484848485,0.6960521144389603,0.6960521144389603,0.6960521144389602,"('Nachos', 'Soda')=>('Burger',)"
Nachos,"Burger, Soda",0.25,0.234375,0.221875,0.8875,3.7866666666666666,0.16328125,6.805555555555553,0.9411764705882353,0.7374999999999998,0.6651315789473684,0.0,132.0,0.8484848484848485,0.6606166737029739,0.6606166737029739,0.6606166737029739,"('Nachos',)=>('Burger', 'Soda')"
"Coffee, Water",Donut,0.025,0.196875,0.025,1.0,5.079365079365079,0.020078125000000002,999.0,0.01470588235294119,1.0,1.0,0.0,142.0,1.0,0.6529411764705882,0.6529411764705882,0.6529411764705882,"('Coffee', 'Water')=>('Donut',)"
Cheese Stick,"Fries, Milk Tea",0.26875,0.234375,0.234375,0.872093023255814,3.7209302325581395,0.17138671875,5.985795454545454,1.0,0.7015503875968991,0.6481028151774786,0.0,125.0,0.7424242424242424,0.6467332443158635,0.6467332443158635,0.6467332443158635,"('Cheese Stick',)=>('Fries', 'Milk Tea')"
Burger,"Nachos, Soda",0.25625,0.234375,0.221875,0.8658536585365854,3.694308943089431,0.16181640625,5.707386363636363,0.9411764705882353,0.6869918699186991,0.641206675224647,0.0,132.0,0.8484848484848485,0.6394830087479034,0.6394830087479034,0.6394830087479034,"('Burger',)=>('Nachos', 'Soda')"
"Burger, Nachos",Soda,0.221875,0.46875,0.221875,1.0,2.1333333333333333,0.11787109374999999,999.0,0.9411764705882353,1.0,0.23684210526315788,0.0,132.0,0.8484848484848485,0.6322943052819213,0.6322943052819213,0.6322943052819212,"('Burger', 'Nachos')=>('Soda',)"
Milk Tea,Cheese Stick,0.25,0.26875,0.234375,0.9375,3.488372093023256,0.1671875,11.7,1.0,0.8541666666666666,0.587859547123623,0.0,87.0,0.16666666666666666,0.6198815534475725,0.6198815534475725,0.6198815534475725,"('Milk Tea',)=>('Cheese Stick',)"
Fries,"Cheese Stick, Milk Tea",0.278125,0.234375,0.234375,0.8426966292134831,3.595505617977528,0.169189453125,4.867187499999998,1.0,0.6329588014981271,0.615612063867534,0.0,125.0,0.7424242424242424,0.6180330806587458,0.6180330806587458,0.6180330806587458,"('Fries',)=>('Cheese Stick', 'Milk Tea')"
Milk Tea,Fries,0.25,0.278125,0.234375,0.9375,3.3707865168539324,0.16484375,11.55,1.0,0.8541666666666666,0.5573994677705499,0.0,87.0,0.16666666666666666,0.6122665336093042,0.6122665336093042,0.6122665336093042,"('Milk Tea',)=>('Fries',)"
Coffee,Donut,0.1875,0.196875,0.16875,0.9,4.571428571428572,0.1318359375,8.031250000000002,0.6911764705882354,0.7666666666666667,0.8684210526315792,0.0,84.0,0.12121212121212122,0.597461769396754,0.597461769396754,0.5974617693967539,"('Coffee',)=>('Donut',)"
Lumpia,Iced Tea,0.175,0.19375,0.153125,0.8750000000000001,4.516129032258065,0.11921875000000001,6.4500000000000055,0.6176470588235294,0.7083333333333336,0.8540959252971139,0.0,99.0,0.3484848484848485,0.5844018779374693,0.5844018779374693,0.5844018779374693,"('Lumpia',)=>('Iced Tea',)"
Nachos,Burger,0.25,0.25625,0.221875,0.8875,3.4634146341463414,0.1578125,6.611111111111109,0.9411764705882353,0.7374999999999998,0.5813944159178435,0.0,89.0,0.19696969696969696,0.5745308677940776,0.5745308677940776,0.5745308677940776,"('Nachos',)=>('Burger',)"
Cheese Stick,Milk Tea,0.26875,0.25,0.234375,0.872093023255814,3.488372093023256,0.1671875,5.863636363636363,1.0,0.7015503875968991,0.587859547123623,0.0,87.0,0.16666666666666666,0.5740966697266422,0.5740966697266422,0.5740966697266421,"('Cheese Stick',)=>('Milk Tea',)"
